area_id,status,en,he
amai_s_room,,Amai's Room,חדר אמאי
bedroom,,Master Bedroom,חדר שינה הורים
children_s_wc,,Children's WC,אמבטיה בנות
corridor,,Corridor,מסדרון בנות
front_yard,,Patio,חצר פנימית
home,,Home,בית
home_assistant,,Home Assistant,
kitchen,,Kitchen,מטבח
kitchen_solaris,,Kitchen Solaris,סולריס מטבח
laundry_room,,Laundry Room,חדר כביסה
living_room,,Living Room,סלון
mamad,,Mamad,ממ״ד
office,,Office,משרד
parent_s_wc,,Master WC,שירותי הורים
shahar_s_studio,,Shahar's Studio,סטודיו שחר
sharon_s_studio,,Sharon's Studio,סטודיו שרון
studio_solaris,,Studio Solaris,סולריס סטודיו
tom_s_bedroom,,Tom's Bedroom,חדר תום
