entity_id,status,area,en,he,
light.0x00be44fffe763a7c,removed,,Sharon's Studio Ikea Bulb,,
light.amai_s_room_lights,,,br1 Lights,,
light.children_s_wc_lights,,,cwc Lights,,
light.corridor_lights,,,crd Lights,,
light.flood_light_lights,,,label flood light lights,,
light.kitchen_lights,,,kt Lights,,
light.kitchen_solaris_lights,,,ksol Lights,,
light.laundry_room_lights,,,lndr Lights,,
light.living_room_lights,,,Living Room Lights,,
light.master_wc_lights,,,mwc Lights,,
light.ofc_lt_wall_bulbs,,,Office Lights,,
light.ofc_lt_wall_n_ikea_bulb,,,Office North Wall Ikea Bulb,,
light.ofc_lt_wall_s_ikea_bulb,,,Office South Wall Ikea Bulb,,
light.ofc_tlt_wall,removed,,Office Wall Light (Template),,
light.ofc_wall_light,,,Office Wall Light,,
light.ofc_wall_test,removed,,Office Wall Test,,
light.office_lights,,,ofc Lights,,
light.office_wall_light,,,Office Wall Light,,
light.office_wall_light_template,,,Office Wall Light (Template),,
light.shahar_s_studio_lights,,,stdr Lights,,
light.sharon_s_studio_lights,,,stdn Lights,,
light.stdn_standing_lamp_bulb,,,Sharon's Studio Standing Lamp Ikea Bulb,,
light.studio_solaris_lights,,,ssol Lights,,
light.tom_s_bedroom_lights,,,br2 Lights,,
media_player.tv_samsung_7_series_65,,,[TV] Samsung 7 Series (65),,
media_player.tv_ua55ju6000,,,[TV] UA55JU6000,,
switch.dim_wall_switch_leds,,,home_sw_ipas_led_brightness,,
switch.mwc_sw_bathroom_wall_e,,,mwc_sw_bathroom_wall_e,,
switch.roborock_s7_maxv_child_lock,,,Roborock S7 MaxV Dock Child lock,,
switch.roborock_s7_maxv_do_not_disturb,,,Roborock S7 MaxV Do not disturb,,
switch.roborock_s7_maxv_status_indicator_light,,,Roborock S7 MaxV Dock Status indicator light,,
switch.zigbee2mqtt_bridge_permit_join,,,Zigbee2MQTT Bridge Permit join,,
vacuum.roborock_s7_maxv,,,Roborock S7 MaxV,,
climate.br1_ac,,amai_s_room,br1_ac,מזגן,
light.br1_lt_ceiling,,amai_s_room,Ceiling,תקרה,
light.br1_lt_wall_s,,amai_s_room,South Wall,קיר דרומי,
light.br1_lt_wall_w,,amai_s_room,West Wall,קיר מערבי,
light.br1_lt_window_w,,amai_s_room,Window,חלון,
switch.br1_fan,,amai_s_room,br1_fan,מאוורר,
climate.mb_ac,,bedroom,mb_ac,מזגן,
light.mb_bed_n,,bedroom,Sharon's Bedside,שרון,
light.mb_bed_s,,bedroom,Shahar's Bedside,שחר,
light.mb_lt_ceiling_hall,,bedroom,Hall,מסדרון,
light.mb_lt_wall,,bedroom,Wall Lights,קיר,
light.mb_lt_wardrobe,,bedroom,Wardrobe,חדר ארונות,
light.mb_soc_bulb,,bedroom,Ikea Bulb - Master Bedroom Standing Lamp,,
light.mb_wardrobe_ikea_bulb,,bedroom,Wardrobe Ikea Bulb,,
scene.bedroom_evening,,bedroom,Bedroom Evening,,
scene.mb_minimal,,bedroom,mb_minimal,עדין,
switch.mb_door_s,,bedroom,Patio Door,דלת פטיו,
switch.mb_fan,,bedroom,mb_fan,מאוורר,
switch.mb_soc,,bedroom,Standing Lamp,מנורה עומדת,
light.cwc_heater_bathroom,,children_s_wc,Heater,תנור,
light.cwc_lt_bathroom_ceiling,,children_s_wc,Ceiling,תקרה,
light.cwc_lt_bathroom_wall_outdoors,,children_s_wc,Bathroom Wall,קיר חוץ מזרח,
light.cwc_lt_bathroom_wall_s,,children_s_wc,Wall Light,קיר כיור,
light.cwc_lt_toilet_wall_e,,children_s_wc,Toilet,שירותים,
climate.crd_ac,,corridor,crd_ac,מזגן,
light.crd_lt_entrance_wall_outdoors,,corridor,Children Entrance Backyard,כניסה חצר,
light.crd_lt_mmd_wall_n,,corridor,Toilet Entrance,כניסה לשירותים,
light.crd_lt_wall_e,,corridor,Corridor Wall,קיר מסדרון,
light.ptio_lt_corridor_wall_e,,front_yard,Patio Corridor,מסדרון פטיו,
light.ptio_lt_corridor_wall_s,,front_yard,Corridor Door,דלת יציאה פטיו,
light.ptio_lt_wall_e,,front_yard,East Wall,קיר מזרחי,
light.ptio_lt_wall_main_entrance,,front_yard,Main Door Light,אור דלת כניסה,
light.ptio_lt_wall_ne,,front_yard,North Wall,קיר צפוני,
light.ptio_lt_wall_nw,,front_yard,Patio Entrance,כניסה לפטיו,
light.ptio_west_wall,,front_yard,West Wall,קיר מערבי,
switch.ptio_gate_ne,,front_yard,Blue Gate,שער כחול,
switch.ptio_r_rshy_motion_detection,,front_yard,שער ראשי Motion detection,,
scene.sleep,,home,Sleep,,
switch.home_sw_heating,,home,Central Heating,חימום מרכזי,
switch.home_sw_pima,,home,Alarm,אזעקה,
climate.kt_ac,,kitchen,AC,מזגן,
light.kitchen_counter_ikea_bulb,,kitchen,Kitchen Counter Ikea Bulb,,
light.kt_lt_ceiling_1,,kitchen,Dining Table,שולחן אוכל,
light.kt_lt_ceiling_2,,kitchen,Sitting Counter,דלפק,
light.kt_lt_ceiling_3,,kitchen,Entrance Ceiling,תקרת מבואה,
light.kt_lt_entrance_wall_outdoors,,kitchen,Kitchen Balcony,חוץ מבואה,
light.kt_lt_strip_n,,kitchen,Counter Spots,שיש,
light.kt_lt_strip_s,,kitchen,Brick Wall Spots,פס קיר לבנים,
light.kt_lt_wall_s,,kitchen,Brick Wall,קיר לבנים,
light.kt_lt_wall_s_entrance,,kitchen,Entrance Wall,קיר מבואה,
scene.kt_minimal,,kitchen,kt_minimal,עדין,
switch.kt_door_n,,kitchen,Solaris Door,דלת סולארית,
switch.kt_door_s,,kitchen,Main Door,דלת ראשית,
switch.kt_r_rshy_in_home_chime,,kitchen,שער ראשי In-home chime,,
climate.ksol_ac,,kitchen_solaris,ksol_ac,מזגן,
light.ksol_lt_sink,,kitchen_solaris,Sink Light,כיור,
light.ksol_lt_wall_w,,kitchen_solaris,Wall Light,קיר,
climate.lndr_ac,,laundry_room,lndr_ac,מזגן,
light.lndr_lt_ceiling,,laundry_room,Ceiling,תקרה,
light.lndr_lt_entrance_wall_outdoor,,laundry_room,Laundry Room Entrance,כניסה,
light.lndr_lt_outdoor_projector,,laundry_room,Flood Light,פרוג׳קטור,
climate.lr_ac,,living_room,lr_ac,מזגן,
light.lr_lt_ceiling,,living_room,Ceiling,תקרה,
light.lr_lt_outdoor_projector,,living_room,Backyard Flood Light,פרוג׳קטור,
light.lr_lt_wall_e,,living_room,East Wall,קיר מזרחי,
light.lr_lt_wall_n,,living_room,North Wall,קיר צפוני,
light.lr_lt_wall_s,,living_room,South Wall,קיר דרומי,
media_player.lr_tv,,living_room,Living Room TV,טלויזיה,
scene.lr_minimal,,living_room,Minimal,עדין,
scene.lr_tv,,living_room,TV,טלויזיה,
scene.lr_twilight_zone,,living_room,Twilight,דמדומים,
switch.lr_fan,,living_room,lr_fan,מאוורר,
switch.lr_soc_e,,living_room,Standing Lamp,מנורה עומדת,
switch.lr_soc_w,,living_room,Socket,שקע נשלט,
climate.mmd_ac,,mamad,mmd_ac,מזגן,
climate.ofc_ac,,office,ofc_ac,מזגן,
light.ofc_lt_ceiling_hall,,office,Office Hall,מסדרון משרד,
light.ofc_lt_ceiling_wc,,office,Guest WC,שירותי אורחים,
light.ofc_lt_corridor_table_bulb,,office,Office Corridor Table Light Ikea Bulb,מנורת שולחן,
light.ofc_lt_walls,,office,Office Walls,קירות משרד,
scene.office_test,,office,office test,,
light.mwc_ceiling_shower,,parent_s_wc,Shower,מקלחת,
light.mwc_ceiling_toilet,,parent_s_wc,Toilet,שירותים,
light.mwc_lt_bathroom_wall_e,,parent_s_wc,Bathroom East Wall,אמבטיה מזרח,
light.mwc_lt_bathroom_wall_s,,parent_s_wc,Bathroom South Wall,אמבטיה דרום,
light.mwc_main_ceiling,,parent_s_wc,Ceiling,תקרה,
light.mwc_main_wall,,parent_s_wc,Brick Wall,קיר לבנים,
light.mwc_outdoor_projector,,parent_s_wc,Flood Light,פרוג׳קטור,
climate.stdr_ac,,shahar_s_studio,stdr_ac,מזגן,
light.shahar_studio_standing_lamp,,shahar_s_studio,Shahar's Studio Standing Lamp,מנורה עומדת,
light.stdr_lt_ceiling_gallery,,shahar_s_studio,Gallery Ceiling,תקרה גלריה,
light.stdr_lt_ceiling_kiln,,shahar_s_studio,Kiln Room,חדר תנורים,
light.stdr_lt_ceiling_main,,shahar_s_studio,Ceiling,תקרה שולחן,
light.stdr_lt_ceiling_service_area,,shahar_s_studio,Service Area,אישור שירות,
light.stdr_lt_ceiling_spots,,shahar_s_studio,Ceiling Spots,ספוטים,
light.stdr_lt_wall_n_sink,,shahar_s_studio,Large Sink,כיור גדול,
light.stdr_lt_wall_s_gallery,,shahar_s_studio,Gallery Wall,קיר גלריה,
light.stdr_lt_wall_s_sink,,shahar_s_studio,Service Sink,כיור שירות,
scene.night_work,,shahar_s_studio,Night Work,עבודה - לילה,
scene.stdr_minimal,,shahar_s_studio,Minimal,עדין,
climate.stdn_ac,,sharon_s_studio,stdn_ac,מזגן,
light.stdn_lt_wall_e,,sharon_s_studio,East Wall,קיר מזרחי,
light.stdn_lt_wall_n,,sharon_s_studio,North Wall,קיר צפוני,
light.stdn_lt_wall_w,,sharon_s_studio,West Wall,קיר מערבי,
scene.stdn_minimal,,sharon_s_studio,stdn_minimal,עדין,
switch.stdn_fan,,sharon_s_studio,stdn_fan,מאוורר,
switch.stdn_skt,,sharon_s_studio,Standing Lamp,מנורה עומדת,
climate.ssol_ac,,studio_solaris,ssol_ac,מזגן,
light.ssol_lt_wall_s,,studio_solaris,Wall Light,קיר כיור,
climate.br2_ac,,tom_s_bedroom,br2_ac,מזגן,
light.br2_lt_ceiling,,tom_s_bedroom,Ceiling,תקרה,
light.br2_lt_wall_n,,tom_s_bedroom,North Wall,קיר צפוני,
light.br2_lt_wall_w,,tom_s_bedroom,West Wall,קיר מערבי,
